"101","TELL ME","TELL ME TELL ME TETETETE TEL ME"
"102","Gee","GEE GEE GEE GEE GEE BABY BABY"
"103","미스터","이름이 뭐야 미스터"
"104","Abracadabra","이러다 미쳐 내가 여리여리"
"105","8282","Give me a call Baby baby"
"106","기대해","기대해"
"107","I Don't car","다른 여자들의 다리를"
"108","Bad Girl Good Girl","앞에선 한 마디 말도"
"109","피노키오","뉴예삐오"
"110","별빛달빛","너는 내 별빛 내 마음의 별빛"
"111","A","A 워오우 워오우워 우우우"
"112","나혼자","나 혼자 밥을 먹고 나 혼자 영화 보고"
"113","LUV","설레이나요 "
"114","짧은치마","짧은 치마를 입고 내가 길을 걸으면"
"115","위아래","위 아래 위위 아래"
"116","Dumb Dumb","너 땜에 하루종일"
